Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,ACT,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"78,45,557.56","74,05,237.78"
2011-12,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"2,58,78,223.51","2,94,69,301.22"
2011-12,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"17,40,00,000.00","19,57,54,403.88"
2011-12,ACT,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"2,84,13,710.10","3,48,94,604.09"
2011-12,ACT,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"23,29,108.03","28,53,160.18"
2011-12,ACT,Hospitals,Private hospitals,Canadian Government,Premium rebates,"3,30,89,182.56","4,06,36,506.85"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"6,43,70,521.03","7,90,52,817.75"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Individuals,"1,45,65,797.10","1,78,88,115.33"
2011-12,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"89,86,949.88","1,10,43,114.14"
2011-12,ACT,Hospitals,Private hospitals,State and local government,State and local government,"47,34,000.00","58,13,779.87"
2011-12,ACT,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"2,28,81,192.17","2,81,00,172.03"
2011-12,ACT,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"22,89,58,987.12","28,11,09,725.05"
2011-12,ACT,Hospitals,Public hospital services,Canadian Government,Premium rebates,"40,22,231.50","49,39,663.82"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"78,24,706.37","96,09,446.63"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Individuals,"28,33,000.00","34,79,180.05"
2011-12,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"91,22,929.19","1,12,03,781.59"
2011-12,ACT,Hospitals,Public hospital services,State and local government,State and local government,"63,80,39,565.85","78,34,21,689.97"
2011-12,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"23,13,653.15","30,00,706.41"
2011-12,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-23,13,653.15","-30,00,706.41"
2011-12,ACT,Other services,Administration,Canadian Government,Department of Veterans' Affairs,"4,28,25,857.26","5,55,43,253.88"
2011-12,ACT,Other services,Administration,Canadian Government,DoHAC and other,"2,03,18,433.80","2,58,60,621.66"
2011-12,ACT,Other services,Administration,Canadian Government,Premium rebates,"70,24,229.20","91,10,116.42"
2011-12,ACT,Other services,Administration,Non-government,Health insurance funds,"1,36,64,076.30","1,77,21,706.18"
2011-12,ACT,Other services,Administration,State and local government,State and local government,"5,29,000.00","6,49,659.81"
2011-12,ACT,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,163.59,187.41
2011-12,ACT,Other services,Aids and appliances,Canadian Government,DoHAC and other,"62,57,092.40","76,79,794.97"
2011-12,ACT,Other services,Aids and appliances,Canadian Government,Premium rebates,"37,65,192.74","43,13,547.39"
2011-12,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"73,24,345.40","83,91,047.47"
2011-12,ACT,Other services,Aids and appliances,Non-government,Individuals,"2,15,37,084.87","2,46,73,700.04"
2011-12,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"14,70,907.99","16,85,127.90"
2011-12,ACT,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,0,0
2011-12,ACT,Other services,Patient transport services,Canadian Government,DoHAC and other,0,0
2011-12,ACT,Other services,Patient transport services,Canadian Government,Premium rebates,"61,56,143.02","75,60,300.03"
2011-12,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"1,19,75,407.63","1,47,06,882.93"
2011-12,ACT,Other services,Patient transport services,Non-government,Individuals,0,0
2011-12,ACT,Other services,Patient transport services,Non-government,Other source of funds,"11,92,190.65","14,64,117.87"
2011-12,ACT,Other services,Patient transport services,State and local government,State and local government,"1,74,85,923.37","2,14,50,683.00"
2011-12,ACT,Primary health care,All other medications,Canadian Government,DoHAC and other,"71,32,312.58","82,40,107.79"
2011-12,ACT,Primary health care,All other medications,Canadian Government,Premium rebates,"4,69,414.54","5,12,986.36"
2011-12,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"9,13,141.64","9,97,900.92"
2011-12,ACT,Primary health care,All other medications,Non-government,Individuals,"7,67,44,326.63","8,38,67,859.52"
2011-12,ACT,Primary health care,All other medications,Non-government,Other source of funds,"11,19,838.65","12,23,783.89"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"77,33,109.39","89,79,088.10"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"9,87,43,090.25","11,46,83,999.37"
2011-12,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"2,39,88,080.33","2,78,53,102.26"
2011-12,ACT,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,0,0
2011-12,ACT,Primary health care,Community health and other,Canadian Government,DoHAC and other,"1,35,75,172.33","1,66,11,703.19"
2011-12,ACT,Primary health care,Community health and other,Canadian Government,Premium rebates,"3,404.68","4,415.72"
2011-12,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"6,623.04","8,589.80"
2011-12,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"1,48,279.42","1,92,311.89"
2011-12,ACT,Primary health care,Community health and other,State and local government,State and local government,"15,58,71,696.77","19,13,17,375.02"
2011-12,ACT,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"57,26,617.65","64,11,570.35"
2011-12,ACT,Primary health care,Dental services,Canadian Government,DoHAC and other,"59,66,825.03","67,16,471.03"
2011-12,ACT,Primary health care,Dental services,Canadian Government,Premium rebates,"1,07,94,071.01","1,20,85,134.70"
2011-12,ACT,Primary health care,Dental services,Non-government,Health insurance funds,"2,09,97,465.44","2,35,08,942.83"
2011-12,ACT,Primary health care,Dental services,Non-government,Individuals,"10,26,28,366.63","11,49,03,601.60"
2011-12,ACT,Primary health care,Dental services,Non-government,Other source of funds,"3,62,807.84","4,06,202.78"
2011-12,ACT,Primary health care,Dental services,State and local government,State and local government,"1,09,05,326.85","1,33,91,250.42"
2011-12,ACT,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"1,87,52,192.25","2,50,92,897.89"
2011-12,ACT,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"1,45,22,343.25","1,92,05,486.17"
2011-12,ACT,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"42,24,117.89","56,52,424.92"
2011-12,ACT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"82,17,082.26","1,09,95,536.06"
2011-12,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"4,75,62,281.97","6,36,44,584.53"
2011-12,ACT,Primary health care,Other health practitioners,Non-government,Other source of funds,"96,47,269.23","1,29,09,314.20"
2011-12,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"17,48,000.00","21,46,701.99"
2011-12,ACT,Primary health care,Public health,Canadian Government,DoHAC and other,"2,62,31,558.44","3,22,14,724.62"
2011-12,ACT,Primary health care,Public health,Non-government,Other source of funds,0,0
2011-12,ACT,Primary health care,Public health,State and local government,State and local government,"2,76,38,886.78","3,40,40,962.84"
2011-12,ACT,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"1,21,56,046.13","1,40,39,946.72"
2011-12,ACT,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"11,44,25,077.91","13,55,19,814.30"
2011-12,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"2,51,11,060.42","2,90,02,682.85"
2011-12,ACT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"94,68,178.32","1,09,35,522.77"
2011-12,ACT,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"3,44,51,909.32","3,97,91,143.13"
2011-12,ACT,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"12,97,16,695.82","14,98,19,725.87"
2011-12,ACT,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"57,75,170.76","66,70,186.09"
2011-12,ACT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"1,12,34,310.80","1,29,75,364.15"
2011-12,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"5,84,05,743.02","6,74,57,256.39"
2011-12,ACT,Research,Research,Canadian Government,Department of Veterans' Affairs,"16,87,000.00","21,87,964.83"
2011-12,ACT,Research,Research,Canadian Government,DoHAC and other,"11,86,32,092.99","15,35,15,670.89"
2011-12,ACT,Research,Research,Non-government,Individuals,0,0
2011-12,ACT,Research,Research,Non-government,Other source of funds,"45,39,709.54","58,87,413.24"
2011-12,ACT,Research,Research,State and local government,State and local government,"99,77,522.28","1,23,27,928.05"
2011-12,NSW,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"6,54,27,620.71","7,16,18,604.26"
2011-12,NSW,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,43,02,14,587.00","1,85,33,21,036.51"
2011-12,NSW,Capital expenditure,Capital expenditure,State and local government,State and local government,"76,50,00,000.00","92,17,90,636.24"
2011-12,NSW,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"23,56,63,046.00","29,57,52,002.16"
2011-12,NSW,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"7,91,77,836.36","9,93,32,610.62"
2011-12,NSW,Hospitals,Private hospitals,Canadian Government,Premium rebates,"81,84,08,356.63","1,02,70,84,704.91"
2011-12,NSW,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,59,21,02,561.75","1,99,80,54,121.24"
2011-12,NSW,Hospitals,Private hospitals,Non-government,Individuals,"23,32,36,278.33","29,27,06,461.47"
2011-12,NSW,Hospitals,Private hospitals,Non-government,Other source of funds,"24,01,91,640.49","30,14,69,143.45"
2011-12,NSW,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"40,74,35,327.90","51,13,22,483.62"
2011-12,NSW,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"4,75,42,82,245.27","5,96,61,79,297.65"
2011-12,NSW,Hospitals,Public hospital services,Canadian Government,Premium rebates,"15,23,51,665.87","19,11,98,030.32"
2011-12,NSW,Hospitals,Public hospital services,Non-government,Health insurance funds,"29,63,79,521.98","37,19,49,860.25"
2011-12,NSW,Hospitals,Public hospital services,Non-government,Individuals,"24,21,30,000.00","30,38,67,888.91"
2011-12,NSW,Hospitals,Public hospital services,Non-government,Other source of funds,"68,54,19,185.50","86,01,86,184.78"
2011-12,NSW,Hospitals,Public hospital services,State and local government,State and local government,"6,94,92,63,341.23","8,72,40,76,800.43"
2011-12,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"20,63,75,569.80","26,51,38,223.54"
2011-12,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-20,63,75,569.80","-26,51,38,223.54"
2011-12,NSW,Other services,Administration,Canadian Government,DoHAC and other,"50,83,48,199.28","64,83,12,765.12"
2011-12,NSW,Other services,Administration,Canadian Government,Premium rebates,"16,37,80,372.58","21,04,14,619.71"
2011-12,NSW,Other services,Administration,Non-government,Health insurance funds,"31,85,98,303.72","40,93,14,863.92"
2011-12,NSW,Other services,Administration,Non-government,Other source of funds,"19,13,041.08","24,00,824.99"
2011-12,NSW,Other services,Administration,State and local government,State and local government,"91,79,617.50","1,15,20,220.51"
2011-12,NSW,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"11,42,410.15","13,08,788.33"
2011-12,NSW,Other services,Aids and appliances,Canadian Government,DoHAC and other,"13,96,83,047.36","17,52,78,110.14"
2011-12,NSW,Other services,Aids and appliances,Canadian Government,Premium rebates,"8,07,13,314.32","9,24,68,229.52"
2011-12,NSW,Other services,Aids and appliances,Non-government,Health insurance funds,"15,70,09,809.08","17,98,76,383.27"
2011-12,NSW,Other services,Aids and appliances,Non-government,Individuals,"47,90,81,641.77","54,88,54,071.73"
2011-12,NSW,Other services,Aids and appliances,Non-government,Other source of funds,"52,85,394.83","60,55,148.47"
2011-12,NSW,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"7,84,59,000.00","9,84,64,340.22"
2011-12,NSW,Other services,Patient transport services,Canadian Government,DoHAC and other,"41,73,994.28","52,38,272.13"
2011-12,NSW,Other services,Patient transport services,Canadian Government,Premium rebates,"5,39,90,489.54","6,77,56,891.25"
2011-12,NSW,Other services,Patient transport services,Non-government,Health insurance funds,"10,50,26,494.40","13,18,05,968.42"
2011-12,NSW,Other services,Patient transport services,Non-government,Individuals,"7,78,12,000.00","9,76,52,369.27"
2011-12,NSW,Other services,Patient transport services,Non-government,Other source of funds,"3,61,68,481.94","4,53,90,658.95"
2011-12,NSW,Other services,Patient transport services,State and local government,State and local government,"51,28,10,954.34","64,36,11,219.56"
2011-12,NSW,Primary health care,All other medications,Canadian Government,DoHAC and other,"16,93,55,332.37","21,00,95,206.40"
2011-12,NSW,Primary health care,All other medications,Canadian Government,Premium rebates,"94,84,031.54","1,02,89,352.49"
2011-12,NSW,Primary health care,All other medications,Non-government,Health insurance funds,"1,84,49,074.91","2,00,15,647.77"
2011-12,NSW,Primary health care,All other medications,Non-government,Individuals,"2,62,96,40,875.68","2,85,29,32,506.75"
2011-12,NSW,Primary health care,All other medications,Non-government,Other source of funds,"1,07,02,242.87","1,16,11,006.23"
2011-12,NSW,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"16,42,48,805.90","19,07,13,000.92"
2011-12,NSW,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"2,73,86,66,513.31","3,18,08,90,143.86"
2011-12,NSW,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"51,52,23,691.03","59,82,37,872.85"
2011-12,NSW,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"4,69,352.40","6,02,994.15"
2011-12,NSW,Primary health care,Community health and other,Canadian Government,DoHAC and other,"26,68,26,509.35","33,45,79,936.53"
2011-12,NSW,Primary health care,Community health and other,Canadian Government,Premium rebates,"1,72,936.33","2,22,177.61"
2011-12,NSW,Primary health care,Community health and other,Non-government,Health insurance funds,"3,36,409.18","4,32,197.15"
2011-12,NSW,Primary health care,Community health and other,Non-government,Individuals,"3,51,52,251.06","4,41,15,311.28"
2011-12,NSW,Primary health care,Community health and other,Non-government,Other source of funds,"10,27,06,333.25","12,88,96,762.09"
2011-12,NSW,Primary health care,Community health and other,State and local government,State and local government,"1,52,14,79,455.92","1,90,95,21,859.62"
2011-12,NSW,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"3,23,27,191.17","3,61,93,801.16"
2011-12,NSW,Primary health care,Dental services,Canadian Government,DoHAC and other,"46,19,05,161.03","52,11,85,749.62"
2011-12,NSW,Primary health care,Dental services,Canadian Government,Premium rebates,"19,09,75,939.89","21,38,18,304.17"
2011-12,NSW,Primary health care,Dental services,Non-government,Health insurance funds,"37,15,01,234.01","41,59,35,975.50"
2011-12,NSW,Primary health care,Dental services,Non-government,Individuals,"1,30,48,28,242.96","1,46,09,21,378.43"
2011-12,NSW,Primary health care,Dental services,Non-government,Other source of funds,"65,11,428.90","78,93,404.30"
2011-12,NSW,Primary health care,Dental services,State and local government,State and local government,"18,97,01,072.04","23,80,82,889.50"
2011-12,NSW,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"6,86,11,740.90","9,18,11,527.17"
2011-12,NSW,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"35,50,68,432.50","47,05,27,380.78"
2011-12,NSW,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"9,53,22,878.78","12,75,54,540.38"
2011-12,NSW,Primary health care,Other health practitioners,Non-government,Health insurance funds,"18,54,29,468.82","24,81,29,000.84"
2011-12,NSW,Primary health care,Other health practitioners,Non-government,Individuals,"67,41,09,455.60","90,20,47,051.84"
2011-12,NSW,Primary health care,Other health practitioners,Non-government,Other source of funds,"11,91,33,619.82","15,94,16,441.41"
2011-12,NSW,Primary health care,Public health,Canadian Government,DoHAC and other,"45,61,71,680.96","57,24,85,547.75"
2011-12,NSW,Primary health care,Public health,Non-government,Other source of funds,"4,47,76,873.48","5,61,94,003.29"
2011-12,NSW,Primary health care,Public health,State and local government,State and local government,"10,98,92,805.20","13,79,35,931.51"
2011-12,NSW,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"4,23,66,585.05","5,17,11,451.43"
2011-12,NSW,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"2,30,28,96,402.23","2,82,24,29,183.55"
2011-12,NSW,Primary health care,Unreferred medical services,Non-government,Individuals,"15,96,58,791.00","19,48,74,989.47"
2011-12,NSW,Primary health care,Unreferred medical services,Non-government,Other source of funds,"53,90,10,000.60","65,79,00,310.61"
2011-12,NSW,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"16,84,47,903.46","20,56,02,730.72"
2011-12,NSW,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"3,66,06,22,912.00","4,46,80,52,444.56"
2011-12,NSW,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"16,54,70,192.74","20,19,68,221.52"
2011-12,NSW,Referred medical services,Referred medical services,Non-government,Health insurance funds,"32,18,85,473.26","39,28,84,274.13"
2011-12,NSW,Referred medical services,Referred medical services,Non-government,Individuals,"91,68,30,960.00","1,11,90,57,851.78"
2011-12,NSW,Research,Research,Canadian Government,DoHAC and other,"1,01,92,34,361.76","1,30,84,06,654.14"
2011-12,NSW,Research,Research,Non-government,Individuals,0,0
2011-12,NSW,Research,Research,Non-government,Other source of funds,"9,43,97,863.12","12,09,52,370.19"
2011-12,NSW,Research,Research,State and local government,State and local government,"8,21,85,793.49","10,40,20,641.45"
2011-12,NT,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,54,89,931.39","1,57,70,306.43"
2011-12,NT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"3,13,85,466.07","3,92,22,869.42"
2011-12,NT,Capital expenditure,Capital expenditure,State and local government,State and local government,"11,90,00,000.00","13,96,22,454.53"
2011-12,NT,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"17,13,196.25","21,86,104.83"
2011-12,NT,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"3,62,793.52","4,50,046.40"
2011-12,NT,Hospitals,Private hospitals,Canadian Government,Premium rebates,"1,16,20,374.00","1,48,28,047.68"
2011-12,NT,Hospitals,Private hospitals,Non-government,Health insurance funds,"2,26,05,863.03","2,88,45,957.54"
2011-12,NT,Hospitals,Private hospitals,Non-government,Individuals,"2,68,61,187.20","3,42,75,916.13"
2011-12,NT,Hospitals,Private hospitals,Non-government,Other source of funds,"55,00,207.06","70,27,408.31"
2011-12,NT,Hospitals,Private hospitals,State and local government,State and local government,"10,25,747.06","13,08,893.01"
2011-12,NT,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"16,93,584.26","21,61,079.17"
2011-12,NT,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"19,95,80,647.24","25,45,42,547.12"
2011-12,NT,Hospitals,Public hospital services,Canadian Government,Premium rebates,"5,16,243.41","6,58,746.60"
2011-12,NT,Hospitals,Public hospital services,Non-government,Health insurance funds,"10,04,281.59","12,81,502.24"
2011-12,NT,Hospitals,Public hospital services,Non-government,Individuals,"55,19,142.45","70,42,639.72"
2011-12,NT,Hospitals,Public hospital services,Non-government,Other source of funds,"21,74,366.80","34,96,464.89"
2011-12,NT,Hospitals,Public hospital services,State and local government,State and local government,"45,35,94,663.65","57,84,93,986.79"
2011-12,NT,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"1,61,30,898.32","2,09,21,065.87"
2011-12,NT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,61,30,898.32","-2,09,21,065.87"
2011-12,NT,Other services,Administration,Canadian Government,DoHAC and other,"1,73,97,244.68","2,24,25,713.26"
2011-12,NT,Other services,Administration,Canadian Government,Premium rebates,"25,38,551.05","32,92,389.10"
2011-12,NT,Other services,Administration,Non-government,Health insurance funds,"49,38,186.71","64,04,611.04"
2011-12,NT,Other services,Administration,State and local government,State and local government,0,0
2011-12,NT,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,0,0
2011-12,NT,Other services,Aids and appliances,Canadian Government,DoHAC and other,"34,13,513.26","43,47,747.82"
2011-12,NT,Other services,Aids and appliances,Canadian Government,Premium rebates,"17,96,199.42","20,57,794.08"
2011-12,NT,Other services,Aids and appliances,Non-government,Health insurance funds,"34,94,106.64","40,02,980.89"
2011-12,NT,Other services,Aids and appliances,Non-government,Individuals,"1,60,78,867.30","1,84,20,559.29"
2011-12,NT,Other services,Aids and appliances,Non-government,Other source of funds,"10,81,486.52","12,38,991.92"
2011-12,NT,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,0,0
2011-12,NT,Other services,Patient transport services,Canadian Government,DoHAC and other,"1,07,03,901.46","1,36,58,593.20"
2011-12,NT,Other services,Patient transport services,Canadian Government,Premium rebates,"2,37,295.44","3,02,798.18"
2011-12,NT,Other services,Patient transport services,Non-government,Health insurance funds,"4,61,605.52","5,89,026.54"
2011-12,NT,Other services,Patient transport services,Non-government,Individuals,0,0
2011-12,NT,Other services,Patient transport services,Non-government,Other source of funds,"8,10,169.38","10,33,807.53"
2011-12,NT,Other services,Patient transport services,State and local government,State and local government,"5,81,77,604.32","7,42,36,878.35"
2011-12,NT,Primary health care,All other medications,Canadian Government,DoHAC and other,"99,26,547.14","1,17,36,670.35"
2011-12,NT,Primary health care,All other medications,Canadian Government,Premium rebates,"96,080.00","1,05,211.28"
2011-12,NT,Primary health care,All other medications,Non-government,Health insurance funds,"1,86,902.28","2,04,665.16"
2011-12,NT,Primary health care,All other medications,Non-government,Individuals,"3,29,28,297.62","3,60,57,747.75"
2011-12,NT,Primary health care,All other medications,Non-government,Other source of funds,"3,98,731.50","4,36,626.28"
2011-12,NT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"7,67,212.91","8,90,828.25"
2011-12,NT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"5,22,79,408.88","6,08,44,829.68"
2011-12,NT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"74,90,710.55","86,97,633.33"
2011-12,NT,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,0,0
2011-12,NT,Primary health care,Community health and other,Canadian Government,DoHAC and other,"19,85,07,198.29","25,31,95,665.37"
2011-12,NT,Primary health care,Community health and other,Canadian Government,Premium rebates,"1,338.58","1,736.08"
2011-12,NT,Primary health care,Community health and other,Non-government,Health insurance funds,"2,603.92","3,377.17"
2011-12,NT,Primary health care,Community health and other,Non-government,Individuals,"3,74,254.34","4,77,563.05"
2011-12,NT,Primary health care,Community health and other,Non-government,Other source of funds,"10,00,745.14","12,77,279.69"
2011-12,NT,Primary health care,Community health and other,State and local government,State and local government,"28,18,79,418.90","35,98,19,887.34"
2011-12,NT,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"2,77,234.06","3,10,393.64"
2011-12,NT,Primary health care,Dental services,Canadian Government,DoHAC and other,"16,85,353.12","20,45,275.32"
2011-12,NT,Primary health care,Dental services,Canadian Government,Premium rebates,"36,03,697.37","40,34,730.56"
2011-12,NT,Primary health care,Dental services,Non-government,Health insurance funds,"70,10,192.07","78,48,671.31"
2011-12,NT,Primary health care,Dental services,Non-government,Individuals,"6,51,83,051.18","7,29,79,556.09"
2011-12,NT,Primary health care,Dental services,Non-government,Other source of funds,"69,224.86","80,652.43"
2011-12,NT,Primary health care,Dental services,State and local government,State and local government,"1,15,44,882.40","1,38,42,779.61"
2011-12,NT,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"5,17,866.33","6,92,973.21"
2011-12,NT,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"56,72,154.35","74,80,834.13"
2011-12,NT,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"16,39,810.40","21,94,281.85"
2011-12,NT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"31,89,886.59","42,68,487.51"
2011-12,NT,Primary health care,Other health practitioners,Non-government,Individuals,"2,54,78,626.87","3,40,93,751.49"
2011-12,NT,Primary health care,Other health practitioners,Non-government,Other source of funds,"71,80,629.03","96,08,625.41"
2011-12,NT,Primary health care,Other health practitioners,State and local government,State and local government,"63,09,481.11","80,51,142.48"
2011-12,NT,Primary health care,Public health,Canadian Government,DoHAC and other,"3,56,23,663.91","4,54,57,176.09"
2011-12,NT,Primary health care,Public health,Non-government,Individuals,-213.84,-272.87
2011-12,NT,Primary health care,Public health,Non-government,Other source of funds,"85,011.04","1,08,477.39"
2011-12,NT,Primary health care,Public health,State and local government,State and local government,"8,03,13,302.62","10,27,43,679.95"
2011-12,NT,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"4,77,483.86","5,17,428.44"
2011-12,NT,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"8,77,13,830.04","10,48,22,817.57"
2011-12,NT,Primary health care,Unreferred medical services,Non-government,Individuals,"72,18,939.60","78,22,849.95"
2011-12,NT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"1,36,85,556.60","1,48,30,440.72"
2011-12,NT,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"25,81,415.09","27,97,366.93"
2011-12,NT,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"5,10,40,912.24","5,53,10,810.18"
2011-12,NT,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"22,85,656.64","24,76,866.39"
2011-12,NT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"44,46,236.84","48,18,192.92"
2011-12,NT,Referred medical services,Referred medical services,Non-government,Individuals,"1,17,79,234.92","1,27,64,643.08"
2011-12,NT,Research,Research,Canadian Government,DoHAC and other,"7,97,03,406.71","10,33,55,691.49"
2011-12,NT,Research,Research,Non-government,Individuals,-14.8,-18.88
2011-12,NT,Research,Research,Non-government,Other source of funds,"17,31,218.33","22,44,240.56"
2011-12,NT,Research,Research,State and local government,State and local government,"2,94,20,746.08","3,79,57,115.10"
2011-12,Qld,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"3,72,22,073.98","4,08,21,518.77"
2011-12,Qld,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"54,26,11,032.10","70,19,14,467.05"
2011-12,Qld,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,85,30,00,000.00","2,19,78,85,564.25"
2011-12,Qld,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"31,02,35,118.10","39,40,17,334.04"
2011-12,Qld,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"6,22,32,336.64","7,90,18,004.26"
2011-12,Qld,Hospitals,Private hospitals,Canadian Government,Premium rebates,"60,03,90,974.06","76,25,32,792.64"
2011-12,Qld,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,16,79,79,285.78","1,48,34,04,223.27"
2011-12,Qld,Hospitals,Private hospitals,Non-government,Individuals,"29,07,39,302.63","36,92,77,222.11"
2011-12,Qld,Hospitals,Private hospitals,Non-government,Other source of funds,"15,85,14,619.49","20,13,23,138.92"
2011-12,Qld,Hospitals,Private hospitals,State and local government,State and local government,"2,75,02,999.99","3,49,30,470.80"
2011-12,Qld,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"11,01,91,291.70","13,99,49,594.54"
