Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2012-13,NSW,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"9,41,55,584.39","12,19,67,615.75"
2012-13,NSW,Primary health care,Other health practitioners,Non-government,Health insurance funds,"21,68,70,686.89","28,09,30,767.71"
2012-13,NSW,Primary health care,Other health practitioners,Non-government,Individuals,"74,33,11,952.36","96,28,74,238.19"
2012-13,NSW,Primary health care,Other health practitioners,Non-government,Other source of funds,"12,92,56,792.20","16,74,37,150.62"
2012-13,NSW,Primary health care,Public health,Canadian Government,DoHAC and other,"38,77,52,808.75","47,24,45,485.16"
2012-13,NSW,Primary health care,Public health,Non-government,Other source of funds,"9,19,28,967.64","11,20,08,023.50"
2012-13,NSW,Primary health care,Public health,State and local government,State and local government,"16,58,32,740.69","20,20,53,803.00"
2012-13,NSW,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"4,24,02,087.13","5,04,60,242.33"
2012-13,NSW,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"2,53,74,48,438.47","3,01,96,68,883.85"
2012-13,NSW,Primary health care,Unreferred medical services,Non-government,Individuals,"16,36,04,387.00","19,46,96,006.11"
2012-13,NSW,Primary health care,Unreferred medical services,Non-government,Other source of funds,"61,14,62,467.90","72,76,65,697.54"
2012-13,NSW,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"16,85,89,058.35","20,06,27,971.76"
2012-13,NSW,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"3,88,04,64,604.00","4,61,79,13,823.17"
2012-13,NSW,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"16,03,91,792.78","19,08,72,885.75"
2012-13,NSW,Referred medical services,Referred medical services,Non-government,Health insurance funds,"36,94,34,043.64","43,96,41,834.41"
2012-13,NSW,Referred medical services,Referred medical services,Non-government,Individuals,"96,01,65,992.58","1,14,26,37,354.58"
2012-13,NSW,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2012-13,NSW,Research,Research,Canadian Government,DoHAC and other,"1,25,32,14,790.53","1,55,71,16,612.22"
2012-13,NSW,Research,Research,Non-government,Other source of funds,"11,10,33,981.51","13,79,59,477.05"
2012-13,NSW,Research,Research,State and local government,State and local government,"8,71,36,817.06","10,82,67,302.94"
2012-13,NT,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"39,03,114.17","39,57,907.39"
2012-13,NT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"4,92,01,889.71","6,03,45,718.56"
2012-13,NT,Capital expenditure,Capital expenditure,State and local government,State and local government,"10,00,00,000.00","11,47,96,282.78"
2012-13,NT,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"17,14,208.06","21,29,128.79"
2012-13,NT,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"1,99,443.09","2,47,717.90"
2012-13,NT,Hospitals,Private hospitals,Canadian Government,Premium rebates,"1,20,21,478.98","1,49,31,254.60"
2012-13,NT,Hospitals,Private hospitals,Non-government,Health insurance funds,"2,76,89,126.61","3,43,91,225.87"
2012-13,NT,Hospitals,Private hospitals,Non-government,Individuals,"2,71,78,957.83","3,37,57,571.73"
2012-13,NT,Hospitals,Private hospitals,Non-government,Other source of funds,"56,26,225.85","69,88,042.89"
2012-13,NT,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"22,67,215.90","28,15,991.10"
2012-13,NT,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"17,33,32,851.35","21,52,87,731.04"
2012-13,NT,Hospitals,Public hospital services,Canadian Government,Premium rebates,"4,67,042.31","5,80,089.00"
2012-13,NT,Hospitals,Public hospital services,Non-government,Health insurance funds,"10,75,740.66","13,36,121.59"
2012-13,NT,Hospitals,Public hospital services,Non-government,Individuals,"63,66,035.74","79,06,922.32"
2012-13,NT,Hospitals,Public hospital services,Non-government,Other source of funds,"1,15,41,568.92","1,43,35,183.24"
2012-13,NT,Hospitals,Public hospital services,State and local government,State and local government,"51,52,49,540.59","63,99,64,690.20"
2012-13,NT,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"18,48,000.00","23,18,363.36"
2012-13,NT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-18,48,000.00","-23,18,363.36"
2012-13,NT,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2012-13,NT,Other services,Administration,Canadian Government,DoHAC and other,"1,36,77,439.60","1,71,58,698.49"
2012-13,NT,Other services,Administration,Canadian Government,Premium rebates,"23,11,319.94","28,99,610.10"
2012-13,NT,Other services,Administration,Non-government,Health insurance funds,"53,23,715.50","66,78,737.52"
2012-13,NT,Other services,Administration,Non-government,Individuals,"-38,413.31","-48,190.48"
2012-13,NT,Other services,Administration,Non-government,Other source of funds,"1,80,455.41","2,26,385.94"
2012-13,NT,Other services,Administration,State and local government,State and local government,"38,413.31","48,190.48"
2012-13,NT,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,0,0
2012-13,NT,Other services,Aids and appliances,Canadian Government,DoHAC and other,"36,21,165.41","41,52,696.93"
2012-13,NT,Other services,Aids and appliances,Canadian Government,Premium rebates,"17,12,309.14","19,63,649.84"
2012-13,NT,Other services,Aids and appliances,Non-government,Health insurance funds,"39,44,000.36","45,22,919.09"
2012-13,NT,Other services,Aids and appliances,Non-government,Individuals,"1,58,91,768.24","1,82,24,435.96"
2012-13,NT,Other services,Aids and appliances,Non-government,Other source of funds,"10,94,681.79","12,55,364.28"
2012-13,NT,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,0,0
2012-13,NT,Other services,Patient transport services,Canadian Government,DoHAC and other,"1,11,61,038.19","1,38,62,545.79"
2012-13,NT,Other services,Patient transport services,Canadian Government,Premium rebates,"2,38,396.35","2,96,099.73"
2012-13,NT,Other services,Patient transport services,Non-government,Health insurance funds,"5,49,103.71","6,82,013.19"
2012-13,NT,Other services,Patient transport services,Non-government,Individuals,"5,13,829.30","6,38,200.69"
2012-13,NT,Other services,Patient transport services,Non-government,Other source of funds,"9,31,568.18","11,57,052.44"
2012-13,NT,Other services,Patient transport services,State and local government,State and local government,"5,50,36,739.96","6,83,58,275.87"
2012-13,NT,Primary health care,All other medications,Canadian Government,DoHAC and other,"62,45,263.19","67,35,875.60"
2012-13,NT,Primary health care,All other medications,Canadian Government,Premium rebates,"97,568.03","1,05,232.74"
2012-13,NT,Primary health care,All other medications,Non-government,Health insurance funds,"2,24,730.66","2,42,384.94"
2012-13,NT,Primary health care,All other medications,Non-government,Individuals,"3,65,58,553.89","3,94,30,503.31"
2012-13,NT,Primary health care,All other medications,Non-government,Other source of funds,"4,03,170.36","4,34,842.42"
2012-13,NT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"7,03,115.93","8,71,699.60"
2012-13,NT,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"5,07,55,429.58","6,29,24,883.28"
2012-13,NT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"75,74,624.63","93,90,766.16"
2012-13,NT,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,0,0
2012-13,NT,Primary health care,Community health and other,Canadian Government,DoHAC and other,"19,00,66,437.50","23,84,43,216.62"
2012-13,NT,Primary health care,Community health and other,Canadian Government,Premium rebates,"1,348.76","1,692.06"
2012-13,NT,Primary health care,Community health and other,Non-government,Health insurance funds,"3,106.64","3,897.36"
2012-13,NT,Primary health care,Community health and other,Non-government,Individuals,"3,51,079.76","4,40,438.56"
2012-13,NT,Primary health care,Community health and other,Non-government,Other source of funds,"6,69,760.02","8,40,231.10"
2012-13,NT,Primary health care,Community health and other,State and local government,State and local government,"30,30,56,543.40","38,01,92,200.03"
2012-13,NT,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"2,60,521.47","2,87,371.51"
2012-13,NT,Primary health care,Dental services,Canadian Government,DoHAC and other,"32,11,896.77","35,42,923.38"
2012-13,NT,Primary health care,Dental services,Canadian Government,Premium rebates,"36,36,541.84","40,11,333.51"
2012-13,NT,Primary health care,Dental services,Non-government,Health insurance funds,"83,76,129.06","92,39,395.18"
2012-13,NT,Primary health care,Dental services,Non-government,Individuals,"6,63,99,273.13","7,32,42,558.67"
2012-13,NT,Primary health care,Dental services,Non-government,Other source of funds,"1,33,250.35","1,46,983.48"
2012-13,NT,Primary health care,Dental services,State and local government,State and local government,"93,14,954.15","1,02,74,978.08"
2012-13,NT,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"5,68,464.54","7,36,379.74"
2012-13,NT,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"63,76,000.14","82,59,367.10"
2012-13,NT,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"18,09,174.47","23,43,575.24"
